"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"172",33.4,33.79,26.02,34.01,35.18,3,5,3,26.02,35.18,32.48
"173",40.88,41.01,26.52,41.04,39.24,3,4,3,26.52,41.04,37.74
"174",33.48,33.51,33.99,34.92,29.92,5,4,5,29.92,34.92,33.16
"175",46.17,47.4,46.11,45.21,41.85,5,2,5,41.85,47.4,45.35
"176",33.79,33.47,33.01,33.75,33.17,3,1,3,33.01,33.79,33.44
"177",37.41,39.08,24.84,58.82,36.46,3,4,3,24.84,58.82,39.32
"178",22.01,22.08,21.59,21.26,22.42,4,5,2,21.26,22.42,21.87
"179",26.48,25.46,26.59,25.56,28.31,2,5,5,25.46,28.31,26.48
"180",45.66,45.58,44.34,45.97,46.97,3,5,3,44.34,46.97,45.7
"181",28.37,32.26,21.11,28.57,30.72,3,2,3,21.11,32.26,28.21
"182",29.09,30.6,25.99,30.45,31.04,3,5,3,25.99,31.04,29.43
"183",38.51,41.76,22.5,37.72,36.97,3,2,3,22.5,41.76,35.49
"184",44.39,42.67,44.3,44.56,43.56,2,4,4,42.67,44.56,43.9
"185",32.12,30.06,31,31.75,30.67,2,1,5,30.06,32.12,31.12
"186",41.57,42.51,44.36,41.9,45.15,1,5,5,41.57,45.15,43.1
"187",26.13,25.43,20.31,26.42,27.17,3,5,3,20.31,27.17,25.09
"188",24.94,23.81,25.21,24.73,25.11,2,3,5,23.81,25.21,24.76
"189",26.95,25.31,17.77,25.73,24.7,3,1,3,17.77,26.95,24.09
"190",35.38,34.3,18.48,34.85,33.99,3,1,3,18.48,35.38,31.4
"191",35.81,33.6,25.91,35.57,34.24,3,1,3,25.91,35.81,33.02
"192",36.81,36.65,27.82,38.25,34.97,3,4,3,27.82,38.25,34.9
"193",33.33,31.93,31.97,32.49,30.05,5,1,5,30.05,33.33,31.95
"194",39.62,39.06,37.36,63.75,39.52,3,4,1,37.36,63.75,43.86
"195",25.26,23.61,23.71,24.82,26.66,2,5,4,23.61,26.66,24.81
"196",43.61,48.39,42.06,47.38,43.69,3,2,3,42.06,48.39,45.02
"197",37.59,37.88,35.72,37.94,35.25,5,4,3,35.25,37.94,36.88
"198",36.89,38.82,23.88,37.86,37.18,3,2,3,23.88,38.82,34.93
"199",41.47,48.95,44.36,53.95,49.14,1,4,1,41.47,53.95,47.57
"200",30.59,43.74,36.65,38.87,36.82,1,2,4,30.59,43.74,37.33
"201",35.78,36.38,24.24,38.43,35.6,3,4,3,24.24,38.43,34.09
"202",30.13,29.65,31.87,29.89,32.3,2,5,1,29.65,32.3,30.77
"203",33.09,33.92,26.02,32.4,34.54,3,5,3,26.02,34.54,32
"204",23.16,22.82,20.52,27.2,25.96,3,4,3,20.52,27.2,23.93
"205",31.01,30.43,30.56,30.56,30.28,5,1,5,30.28,31.01,30.57
"206",22.6,22.95,21.8,22.47,24.24,3,5,5,21.8,24.24,22.81
"207",30.97,30.59,19.15,31.06,29.16,3,4,3,19.15,31.06,28.19
"208",32.32,36.22,36.56,31.32,32.02,4,3,1,31.32,36.56,33.69
"209",36.46,34.15,27.88,34.29,34.71,3,1,3,27.88,36.46,33.5
"210",26.67,27.23,25.03,26.19,27.73,3,5,3,25.03,27.73,26.57
"211",30.76,30.83,21.6,30.89,29.88,3,4,3,21.6,30.89,28.79
"212",17.86,21.22,21.75,19.11,18.64,1,3,1,17.86,21.75,19.71
"213",45.6,45.84,36.32,45.81,42.37,3,2,3,36.32,45.84,43.19
"214",22.58,26.51,27.95,24.58,28.54,1,5,5,22.58,28.54,26.03
"215",35.86,37.91,19.14,37.94,32.6,3,4,3,19.14,37.94,32.69
"216",30.15,29.68,23.82,30.01,30.21,3,5,3,23.82,30.21,28.77
"217",33.06,32.98,33.74,34,29.76,5,4,1,29.76,34,32.71
"218",46.24,46.14,35.7,46.29,44.89,3,4,3,35.7,46.29,43.85
"219",32.69,40.09,25.57,32.23,34.76,3,2,3,25.57,40.09,33.07
"220",32.34,33.2,31.54,32.36,30.41,5,2,5,30.41,33.2,31.97
"221",36.73,40.95,44.8,33.54,38.65,4,3,2,33.54,44.8,38.93
"222",35.38,34.3,18.48,34.85,34,3,1,3,18.48,35.38,31.4
